mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
31	29	171/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	277										
31	29	86	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	278										
31	29	173/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/4	#3				
31	29	173/2	1.0		1/4	1/4	Chord	6/8	2	1	1/4			1/4	1	279										
31	29	175/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	280										
32	30	177/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	281										
32	30	89	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	282										
32	30	179/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	283										
32	30	90	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	284										
32	30	181/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	285										
32	30	91	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	286										
32	30	177/2	1.5		0	0	Chord	6/8	2	1	3/8			1/4	3/2	287										
32	30	90	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/8	6	4			
32	30	90	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	288										
32	30	181/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	6	4+			
32	30	181/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	289										
32	30	91	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	#6	4	3		
32	30	91	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	290										
32	30	177/2	1.5		0	0	Chord	6/8	2	2	3/8			1/4	3/2	291										
32	30	90	0.5		3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	292										
32	30	181/2	0.5		1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	293										
32	30	91	0.5		5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	294										
33	31	183/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	295										
33	31	92	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	296										14
33	31	185/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	297	ornamentShortTrill									
33	31	93	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	298										
33	31	187/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	299										
33	31	94	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	300	ornamentTurn									
33	31	183/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	301										
33	31	92	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	302										
33	31	185/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	303										
33	31	93	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/8	6	4+			
33	31	93	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	304										
33	31	187/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	6	4			
33	31	187/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	305										
33	31	94	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	6	4	3		
33	31	94	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	306										
33	31	183/2	1.5		0	0	Chord	6/8	2	2	3/8			1/4	3/2	307										
33	31	93	0.5		3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	308										
33	31	187/2	0.5		1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	309										
33	31	94	0.5		5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	310										
34	32	189/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	311										
34	32	95	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	312										
34	32	191/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	313										
34	32	96	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	314										
34	32	193/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	315										
34	32	97	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	316										
34	32	189/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	317										
34	32	96	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/8	6	4			
34	32	96	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	318										
34	32	193/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	6	4+			
34	32	193/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	319										
34	32	97	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	6				
34	32	97	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	320										
34	32	189/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	321										
34	32	96	0.5		3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	322										
34	32	193/2	0.5		1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	323										
34	32	97	0.5		5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	324										
35	33	195/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	325										
35	33	98	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	326										15
35	33	197/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	327	ornamentShortTrill									
35	33	99	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	328										
35	33	199/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	329										
35	33	100	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	330	ornamentTurn									
35	33	195/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/4	8	5/			
35	33	195/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	331										
35	33	98	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	332										
35	33	197/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	333										
35	33	99	0.0		3/8	3/8	FiguredBass	6/8	2	1	0										1/8	6	4			
35	33	99	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	334										
35	33	199/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	6	4+			
35	33	199/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	335										
35	33	100	0.0		5/8	5/8	FiguredBass	6/8	2	1	0										1/8	#6				
35	33	100	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	336										
35	33	195/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	337										
35	33	99	0.5		3/8	3/8	Chord	6/8	2	2	1/8			1/8	1	338										
35	33	199/2	0.5		1/2	1/2	Chord	6/8	2	2	1/8			1/8	1	339										
35	33	100	0.5		5/8	5/8	Chord	6/8	2	2	1/8			1/8	1	340										
36	34	201/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	341										
36	34	101	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	342										
36	34	203/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	343										
36	34	102	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	344										
36	34	205/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	345										
36	34	103	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	346										
36	34	201/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	347										
36	34	203/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	348										
36	34	102	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	349										
36	34	205/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	350										
36	34	103	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	351										
36	34	201/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	352										
36	34	203/2	1.0		1/4	1/4	Chord	6/8	2	2	1/4			1/4	1	353										
36	34	205/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	354										
37	35	207/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	355	ornamentShortTrill									
37	35	104	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	356										
37	35	209/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	357										
37	35	105	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	358										
37	35	211/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	359										
37	35	106	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	360										
37	35	207/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/4	#3				
37	35	207/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	361										
37	35	104	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	362										
37	35	209/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	363										
37	35	105	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	364										
37	35	211/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	365										
37	35	106	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	366										
37	35	207/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	367										
37	35	209/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	368										
38	36	213/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	369	ornamentShortTrill									
38	36	107	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	370										
38	36	215/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	371										
38	36	108	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	372										
38	36	217/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	373										
38	36	109	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	374										
38	36	213/2	0.0		0	0	FiguredBass	6/8	2	1	0										3/4	#3_				
38	36	213/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	375										
38	36	107	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	376										
38	36	215/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	377										
38	36	108	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	378										
38	36	217/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	379										
38	36	109	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	380										
38	36	213/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	381										
38	36	215/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	382										
39	37	219/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	383	ornamentShortTrill									
39	37	110	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	384										
39	37	221/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	385										
39	37	111	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	386										
39	37	223/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	387										
39	37	112	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	388										
39	37	219/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/8	#3				
39	37	219/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	389										
39	37	110	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	390										
39	37	221/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	391										
39	37	111	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	392										
39	37	223/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	393										
39	37	112	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	394										
39	37	219/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	395										
39	37	221/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	396										
40	38	225/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	397	ornamentShortTrill									
40	38	113	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	398										
40	38	227/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	399										
40	38	114	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	400										
40	38	229/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	401										
40	38	115	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	402										
40	38	225/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	403										
40	38	113	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	404										
40	38	227/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	405										
40	38	114	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	406										
40	38	229/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	7				
40	38	229/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	407										
40	38	115	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	408										
40	38	225/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	409										
40	38	227/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	410										
41	39	231/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	411	ornamentShortTrill									
41	39	116	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	412										
41	39	233/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	413										
41	39	117	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	414										
41	39	235/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	415										
41	39	118	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	416										
41	39	231/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	417										
41	39	116	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	418										
41	39	233/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	419										
41	39	117	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	420										
41	39	235/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	b7				
41	39	235/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	421										
41	39	118	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	422										
41	39	231/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	423										
41	39	233/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	424										
42	40	237/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	425	ornamentShortTrill									
42	40	119	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	426										
42	40	239/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	427	ornamentShortTrill									
42	40	120	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	428										
42	40	241/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	429										
42	40	121	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	430										
42	40	237/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	431										
42	40	119	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	432										
42	40	239/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/8	6	b3			
42	40	239/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	433										
42	40	120	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	434										
42	40	241/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	5/				
42	40	241/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	435										
42	40	121	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	436										
42	40	237/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	437										
42	40	239/2	1.0		1/4	1/4	Chord	6/8	2	2	1/4			1/4	1	438										
42	40	241/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	439										
43	41	243/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	440	ornamentShortTrill									
43	41	122	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	441										
43	41	245/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	442										
43	41	123	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	443										
43	41	247/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	444										
43	41	124	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	445										
43	41	243/2	0.5		0	0	Chord	6/8	1	2	1/8			1/8	1	446										
43	41	122	0.5		1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	447										
43	41	245/2	0.5		1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	448										
43	41	123	0.5		3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	449										
43	41	247/2	0.5		1/2	1/2	Chord	6/8	1	2	1/8			1/8	1	450										
43	41	124	0.5		5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	451										
43	41	243/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/8	#3				
43	41	243/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	452										
43	41	122	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	453										
43	41	245/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	454										
43	41	123	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	455										
43	41	247/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	456										
44	42	249/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	457										
44	42	125	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	458										
44	42	251/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	459										
44	42	126	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	460										
44	42	253/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	461										
44	42	127	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	462										
44	42	249/2	0.5		0	0	Chord	6/8	1	2	1/8			1/8	1	463										
44	42	125	0.5		1/8	1/8	Chord	6/8	1	2	1/8			1/8	1	464										
44	42	251/2	0.5		1/4	1/4	Chord	6/8	1	2	1/8			1/8	1	465										
44	42	126	0.5		3/8	3/8	Chord	6/8	1	2	1/8			1/8	1	466										
44	42	253/2	0.5		1/2	1/2	Chord	6/8	1	2	1/8			1/8	1	467										
44	42	127	0.5		5/8	5/8	Chord	6/8	1	2	1/8			1/8	1	468										
44	42	249/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/4	7	5	2		
44	42	249/2	1.0		0	0	Chord	6/8	2	1	1/4			1/4	1	469										
44	42	251/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/4	5	4			
44	42	251/2	1.0		1/4	1/4	Chord	6/8	2	1	1/4			1/4	1	470										
44	42	253/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	#3				
44	42	253/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	471										
44	42	251/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	472										
45	43	255/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	473										
45	43	128	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	474										
45	43	257/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	475										
45	43	129	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	476										
45	43	259/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	477										
45	43	130	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	478										
45	43	255/2	0.5		0	0	Chord	6/8	1	2	1/8			1/8	1	479										
45	43	255/2	0.5		0	0	Chord	6/8	1	3	1/8			1/8	1	480										
45	43	255/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	481										
45	43	128	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	482										
45	43	257/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	483										
45	43	129	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	484										
45	43	259/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/8	#3				
45	43	259/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	485										
45	43	130	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	486										
45	43	255/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	487										
45	43	259/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	488										
46	44	261/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	489										
46	44	131	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	490										
46	44	263/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	491										
46	44	132	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	492										
46	44	265/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	493										
46	44	133	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	494										
46	44	261/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	495										
46	44	131	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	496										
46	44	263/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/8	#3				
46	44	263/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	497										
46	44	132	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	498										
46	44	265/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	499										
46	44	133	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	500										
46	44	261/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	501										
46	44	263/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	502										
47	45	267/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	503										
47	45	134	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	504										
47	45	269/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	505										
47	45	135	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	506										
47	45	271/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	507										
47	45	136	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	508										
47	45	267/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	509	ornamentShortTrill									
47	45	134	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	510										
47	45	269/2	0.0		1/4	1/4	FiguredBass	6/8	2	1	0										1/8	#3				
47	45	269/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	511										
47	45	135	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	512										
47	45	271/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	513										
47	45	136	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	514										
47	45	267/2	1.0		0	0	Chord	6/8	2	2	1/4			1/4	1	515										
47	45	269/2	2.0		1/4	1/4	Chord	6/8	2	2	1/2			1/2	1	516										
48	46	273/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	517										
48	46	137	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	518										
48	46	275/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	519										
48	46	138	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	520										
48	46	277/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	521										
48	46	139	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	522										
48	46	273/2	0.5		0	0	Chord	6/8	2	1	1/8			1/8	1	523										
48	46	137	0.5		1/8	1/8	Chord	6/8	2	1	1/8			1/8	1	524										
48	46	275/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8			1/8	1	525										
48	46	138	0.5		3/8	3/8	Chord	6/8	2	1	1/8			1/8	1	526										
48	46	277/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8			1/8	1	527										
48	46	139	0.5		5/8	5/8	Chord	6/8	2	1	1/8			1/8	1	528										
48	46	273/2	2.0		0	0	Chord	6/8	2	2	1/2			1/2	1	529										
48	46	277/2	1.0		1/2	1/2	Chord	6/8	2	2	1/4			1/4	1	530										
49	47	279/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	531	ornamentShortTrill									
49	47	140	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	532										
49	47	281/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	533										
49	47	141	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	534										
49	47	283/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	535										
49	47	142	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	536										
49	47	279/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	537	ornamentShortTrill									
49	47	283/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	6				
49	47	283/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	538										
50	48	285/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	539										
50	48	143	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	540										
50	48	287/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	541										
50	48	144	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	542										
50	48	289/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	543										
50	48	145	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	544										
50	48	285/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/2	7	3	2		
50	48	285/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	545										
50	48	289/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	8	5/			
50	48	289/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	546										
51	49	291/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	547										
51	49	146	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	548										
51	49	293/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	549										
51	49	147	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	550										
51	49	295/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8			1/8	1	551										
51	49	148	0.5		5/8	5/8	Chord	6/8	1	1	1/8			1/8	1	552										
51	49	291/2	0.0		0	0	FiguredBass	6/8	2	1	0										1/2	7	#5/	3	2	
51	49	291/2	2.0		0	0	Chord	6/8	2	1	1/2			1/2	1	553										
51	49	295/2	0.0		1/2	1/2	FiguredBass	6/8	2	1	0										1/4	5				
51	49	295/2	1.0		1/2	1/2	Chord	6/8	2	1	1/4			1/4	1	554										
52	50	297/2	0.5		0	0	Chord	6/8	1	1	1/8			1/8	1	555										
52	50	149	0.5		1/8	1/8	Chord	6/8	1	1	1/8			1/8	1	556										
52	50	299/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8			1/8	1	557										
52	50	150	0.5		3/8	3/8	Chord	6/8	1	1	1/8			1/8	1	558										
