mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
33	31	94	94	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	5/			
33	31	94	94	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	244	ornamentMordent										
33	31	96	96	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	7			
33	31	96	96	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	245											
34	32	97	97	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	246											
34	32	195/2	195/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	247											
34	32	98	98	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	248											5
34	32	197/2	197/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	249											5
34	32	395/4	395/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	250											
34	32	99	99	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	251	ornamentShortTrill										
34	32	199/2	199/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	252											
34	32	97	97	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	253	ornamentMordent										
34	32	99	99	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	254											
35	33	100	100	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	255											
35	33	201/2	201/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	256											
35	33	101	101	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	257											6
35	33	203/2	203/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	258											6
35	33	407/4	407/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	259											
35	33	102	102	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	260	ornamentShortTrill										
35	33	205/2	205/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	261											
35	33	100	100	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	6	4	3	
35	33	100	100	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	262											
35	33	101	101	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	5/			
35	33	101	101	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	263											
35	33	102	102	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	4	3	
35	33	102	102	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	264											
36	34	103	103	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	265											
36	34	104	104	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	266											7
36	34	209/2	209/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	267											
36	34	105	105	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	268	ornamentShortTrill										8
36	34	211/2	211/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	269											
36	34	103	103	0.0	0	0	FiguredBass	3/4	2	1	0											1/4	6			
36	34	103	103	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	270											
36	34	104	104	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	6	5		
36	34	104	104	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	271											
36	34	105	105	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6	4	3	
36	34	105	105	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	272											
37	35	106	106	0.0	0	0	Chord	3/4	1	1	0	appoggiatura	1/8	1	273											
37	35	106	106	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	274											
37	35	107	107	0.0	1/4	1/4	Chord	3/4	1	1	0	appoggiatura	1/8	1	275											
37	35	107	107	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	276											
37	35	108	108	0.0	1/2	1/2	Chord	3/4	1	1	0	appoggiatura	1/8	1	277											
37	35	108	108	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	278											
37	35	106	106	0.0	0	0	FiguredBass	3/4	2	1	0											1/2	3_			
37	35	106	106	1.5	0	0	Chord	3/4	2	1	3/8		1/4	3/2	279											
37	35	215/2	215/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	280											
37	35	108	108	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	6_			
37	35	108	108	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	281	ornamentShortTrill										
37	35	217/2	217/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	282											
38	36	109	109	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	283											
38	36	219/2	219/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	284											
38	36	110	110	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	285	ornamentShortTrill										
38	36	223/2	223/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	286											
38	36	109	109	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	287											
38	36	110	110	0.0	1/4	1/4	FiguredBass	3/4	2	1	0											1/4	3			
38	36	110	110	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	288											
38	36	111	111	0.0	1/2	1/2	FiguredBass	3/4	2	1	0											1/4	7			
38	36	111	111	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	289											
39	37	112	112	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	290											
39	37	112	112	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	291	ornamentMordent										
39	37	112	112	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	292											
39	37	113	113	1.0	1/4	1/4	Chord	3/4	2	2	1/4		1/4	1	293											
