mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
29	28		1.5	1	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	258	ornamentShortTrill									
29	28		0.5	1	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	259										
29	28		1.0	1	0	0	Chord	3/4	2	1	1/4			1/4	1	260										
29	28		1.0	1	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	261										
29	28		2.0	1	1/4	1/4	Chord	3/4	2	2	1/2			1/2	1	262										
30	28	81	3.0	2	0	0	Chord	3/4	1	1	3/4			1/2	3/2	263										
30	28	84	0.0	2	3/4	3/4	StaffText	3/4	1	1	0							"<font size=""13.5""/><font face=""SnellRoundhand BoldScript""/>Fin"								
30	28	81	2.0	2	0	0	Chord	3/4	2	1	1/2			1/2	1	264										
30	28	81	1.0	2	0	0	Chord	3/4	2	2	1/4			1/4	1	265										
30	28	82	1.0	2	1/4	1/4	Chord	3/4	2	2	1/4			1/4	1	266										
30	28	83	1.0	2	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	267										
