mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
42	39	80	0.0	3/8	3/8	FiguredBass	2/4	2	1	0									1/8	7			
42	39	80	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	271								
43	40	161/2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura		1/8	1	272								
43	40	161/2	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	273	ornamentMordent							
43	40	325/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	274								
43	40	163/2	0.75	1/4	1/4	Chord	2/4	1	1	3/16			1/8	3/2	275	ornamentShortTrill							
43	40	329/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	276								
43	40	161/2	0.0	0	0	FiguredBass	2/4	2	1	0									1/8	5			
43	40	161/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	277								
43	40	81	0.0	1/8	1/8	FiguredBass	2/4	2	1	0									1/8	6	5		
43	40	81	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	278								
43	40	163/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	279								
43	40	163/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	280								
43	40	82	0.5	3/8	3/8	Chord	2/4	2	2	1/8			1/8	1	281								
44	41	165/2	1.5	0	0	Chord	2/4	1	1	3/8			1/4	3/2	282								
44	41	165/2	1.5	0	0	Chord	2/4	2	1	3/8			1/4	3/2	283	ornamentMordent							
44	41	165/2	1.0	0	0	Chord	2/4	2	2	1/4			1/4	1	284								
44	41	167/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8			1/8	1	285								
