mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
27	25	149	149	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	238											
27	25	150	150	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/2	6		
27	25	150	150	2.0	3/4	3/4	Chord	6/4	2	1	1/2		1/2	1	239											
27	25	152	152	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
27	25	152	152	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	240											
28	26	153	153	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	241											
28	26	309/2	309/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	242											
28	26	155	155	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	243											
28	26	156	156	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	244											
28	26	157	157	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	245	ornamentShortTrill										
28	26	153	153	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	246											
28	26	155	155	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6		
28	26	155	155	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	247											
28	26	156	156	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	6		
28	26	156	156	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	248											
28	26	157	157	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	249											
29	27	159	159	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	250	ornamentShortTrill										
29	27	321/2	321/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	251											
29	27	161	161	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	252											
29	27	162	162	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	253											
29	27	163	163	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	254	ornamentShortTrill										
29	27	159	159	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_		
29	27	159	159	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	255											
29	27	161	161	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	256											
29	27	162	162	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												3/4	6_		
29	27	162	162	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	257											
29	27	163	163	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	258											
30	28	165	165	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	259											
30	28	333/2	333/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	260											
30	28	167	167	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	261											
30	28	168	168	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	262											
30	28	169	169	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	263	ornamentShortTrill										
30	28	165	165	2.0	0	0	Chord	6/4	2	1	1/2		1/2	1	264											
30	28	167	167	0.0	1/2	1/2	FiguredBass	6/4	2	1	0												1/4	6		
30	28	167	167	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	265											
30	28	168	168	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	7		
30	28	168	168	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	266											
30	28	169	169	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	267											
31	29	171	171	0.0	0	0	StaffText	6/4	1	1	0						)									
31	29	171	171	0.0	0	0	Chord	6/4	1	1	0	appoggiatura	1/8	1	268											
31	29	171	171	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	269	ornamentMordent										
31	29	345/2	345/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	270											
31	29	173	173	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	271											
31	29	174	174	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	272											
31	29	175	175	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	273	ornamentShortTrill										
31	29	171	171	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	6_		
31	29	171	171	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	274	ornamentShortTrill										
31	29	345/2	345/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	275											
31	29	173	173	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	276											
31	29	174	174	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	4		
31	29	174	174	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	277											
31	29	175	175	0.0	1	1	FiguredBass	6/4	2	1	0												1/2	3		
31	29	175	175	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	278											
32	30	177	177	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	279											
32	30	357/2	357/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	280											
32	30	179	179	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	281											
32	30	180	180	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	282											
32	30	181	181	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	283	ornamentShortTrill										
32	30	177	177	0.0	0	0	FiguredBass	6/4	2	1	0												3/4	_		
32	30	177	177	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	284											
32	30	357/2	357/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	285											
32	30	179	179	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	286											
32	30	180	180	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	6	5	
32	30	180	180	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	287											
32	30	181	181	0.0	1	1	FiguredBass	6/4	2	1	0												1/2	7		
32	30	181	181	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	288											
33	31	183	183	0.0	0	0	StaffText	6/4	1	1	0						)									
33	31	183	183	1.5	0	0	Chord	6/4	1	1	3/8		1/4	3/2	289											
33	31	369/2	369/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8		1/8	1	290											
33	31	185	185	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	291											
33	31	186	186	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	292											
33	31	187	187	0.0	1	1	Chord	6/4	1	1	0	grace8after	1/8	1	293											
33	31	187	187	2.0	1	1	Chord	6/4	1	1	1/2		1/2	1	294	ornamentShortTrill										
33	31	183	183	1.5	0	0	Chord	6/4	2	1	3/8		1/4	3/2	295											
33	31	369/2	369/2	0.0	3/8	3/8	FiguredBass	6/4	2	1	0												1/8	5/		
33	31	369/2	369/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	296											
33	31	185	185	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	297											
33	31	186	186	0.0	3/4	3/4	FiguredBass	6/4	2	1	0												1/4	6	5	
33	31	186	186	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	298											
33	31	187	187	0.0	1	1	FiguredBass	6/4	2	1	0												1/4	3		
33	31	187	187	2.0	1	1	Chord	6/4	2	1	1/2		1/2	1	299											
33	31	188	188	0.0	5/4	5/4	FiguredBass	6/4	2	1	0												1/4	7		
34	32	189	189	3.0	0	0	Chord	6/4	1	1	3/4		1/2	3/2	300											
34	32	189	189	3.0	0	0	Chord	6/4	2	1	3/4		1/2	3/2	301											
