mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur	TextLine
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	225												
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	226											12	
13	13	51	51	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	227												
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	228												
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0											1/8	#6				
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	229												
13	13	97/2	97/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0											1/8	4+				
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	230												
13	13	49	49	0.0	1/4	1/4	FiguredBass	4/4	2	1	0											1/8	6				
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	231												
13	13	99/2	99/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0											1/8	6	5			
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	232												
13	13	50	50	0.0	1/2	1/2	FiguredBass	4/4	2	1	0											1/4	6	4_			
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	233												
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	234												
13	13	51	51	0.0	3/4	3/4	FiguredBass	4/4	2	1	0											1/8	#3				
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	235												
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	236												
14	14	52	52	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	237												
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	238												
